INFO [2020-11-24 11:07:12] Chain: 2, Iteration: 1000
INFO [2020-11-24 11:07:12] Chain: 3, Iteration: 1000
INFO [2020-11-24 11:07:12] Chain: 5, Iteration: 1000
INFO [2020-11-24 11:07:12] Chain: 1, Iteration: 1000
INFO [2020-11-24 11:07:12] Chain: 4, Iteration: 1000
INFO [2020-11-24 11:07:13] Chain: 3, Iteration: 2000
INFO [2020-11-24 11:07:13] Chain: 4, Iteration: 2000
INFO [2020-11-24 11:07:13] Chain: 2, Iteration: 2000
INFO [2020-11-24 11:07:13] Chain: 5, Iteration: 2000
INFO [2020-11-24 11:07:13] Chain: 1, Iteration: 2000
INFO [2020-11-24 11:07:14] Chain: 3, Iteration: 3000
INFO [2020-11-24 11:07:14] Chain: 2, Iteration: 3000
INFO [2020-11-24 11:07:14] Chain: 1, Iteration: 3000
INFO [2020-11-24 11:07:14] Chain: 5, Iteration: 3000
INFO [2020-11-24 11:07:14] Chain: 4, Iteration: 3000
INFO [2020-11-24 11:07:15] Chain: 2, Iteration: 4000
INFO [2020-11-24 11:07:15] Chain: 1, Iteration: 4000
INFO [2020-11-24 11:07:15] Chain: 3, Iteration: 4000
INFO [2020-11-24 11:07:15] Chain: 5, Iteration: 4000
INFO [2020-11-24 11:07:15] Chain: 4, Iteration: 4000
INFO [2020-11-24 11:07:15] Chain: 2, Iteration: 5000
INFO [2020-11-24 11:07:15] Chain: 1, Iteration: 5000
INFO [2020-11-24 11:07:15] Chain: 5, Iteration: 5000
INFO [2020-11-24 11:07:15] Chain: 3, Iteration: 5000
INFO [2020-11-24 11:07:16] Chain: 4, Iteration: 5000
INFO [2020-11-24 11:07:16] Chain: 2, Iteration: 6000
INFO [2020-11-24 11:07:16] Chain: 1, Iteration: 6000
INFO [2020-11-24 11:07:16] Chain: 4, Iteration: 6000
INFO [2020-11-24 11:07:16] Chain: 5, Iteration: 6000
INFO [2020-11-24 11:07:16] Chain: 3, Iteration: 6000
INFO [2020-11-24 11:07:17] Chain: 2, Iteration: 7000
INFO [2020-11-24 11:07:17] Chain: 1, Iteration: 7000
INFO [2020-11-24 11:07:17] Chain: 4, Iteration: 7000
INFO [2020-11-24 11:07:17] Chain: 3, Iteration: 7000
INFO [2020-11-24 11:07:17] Chain: 5, Iteration: 7000
INFO [2020-11-24 11:07:18] Chain: 2, Iteration: 8000
INFO [2020-11-24 11:07:18] Chain: 1, Iteration: 8000
INFO [2020-11-24 11:07:18] Chain: 4, Iteration: 8000
INFO [2020-11-24 11:07:18] Chain: 3, Iteration: 8000
INFO [2020-11-24 11:07:18] Chain: 5, Iteration: 8000
INFO [2020-11-24 11:07:19] Chain: 1, Iteration: 9000
INFO [2020-11-24 11:07:19] Chain: 4, Iteration: 9000
INFO [2020-11-24 11:07:19] Chain: 2, Iteration: 9000
INFO [2020-11-24 11:07:19] Chain: 3, Iteration: 9000
INFO [2020-11-24 11:07:19] Chain: 5, Iteration: 9000
INFO [2020-11-24 11:07:20] Chain: 1, Iteration: 10000
INFO [2020-11-24 11:07:20] Chain: 4, Iteration: 10000
INFO [2020-11-24 11:07:20] Chain: 2, Iteration: 10000
INFO [2020-11-24 11:07:20] Chain: 3, Iteration: 10000
INFO [2020-11-24 11:07:20] Chain: 5, Iteration: 10000
INFO [2020-11-24 17:46:58] Chain: 4, Iteration: 1000
