INFO [2020-11-24 11:05:41] Chain: 4, Iteration: 1000
INFO [2020-11-24 11:05:41] Chain: 1, Iteration: 1000
INFO [2020-11-24 11:05:41] Chain: 3, Iteration: 1000
INFO [2020-11-24 11:05:41] Chain: 5, Iteration: 1000
INFO [2020-11-24 11:05:41] Chain: 2, Iteration: 1000
INFO [2020-11-24 11:05:46] Chain: 1, Iteration: 2000
INFO [2020-11-24 11:05:46] Chain: 3, Iteration: 2000
INFO [2020-11-24 11:05:46] Chain: 4, Iteration: 2000
INFO [2020-11-24 11:05:46] Chain: 5, Iteration: 2000
INFO [2020-11-24 11:05:46] Chain: 2, Iteration: 2000
INFO [2020-11-24 11:05:52] Chain: 1, Iteration: 3000
INFO [2020-11-24 11:05:52] Chain: 3, Iteration: 3000
INFO [2020-11-24 11:05:52] Chain: 4, Iteration: 3000
INFO [2020-11-24 11:05:52] Chain: 2, Iteration: 3000
INFO [2020-11-24 11:05:52] Chain: 5, Iteration: 3000
INFO [2020-11-24 11:05:57] Chain: 1, Iteration: 4000
INFO [2020-11-24 11:05:57] Chain: 3, Iteration: 4000
INFO [2020-11-24 11:05:57] Chain: 4, Iteration: 4000
INFO [2020-11-24 11:05:57] Chain: 2, Iteration: 4000
INFO [2020-11-24 11:05:57] Chain: 5, Iteration: 4000
INFO [2020-11-24 11:06:02] Chain: 1, Iteration: 5000
INFO [2020-11-24 11:06:03] Chain: 3, Iteration: 5000
INFO [2020-11-24 11:06:03] Chain: 2, Iteration: 5000
INFO [2020-11-24 11:06:03] Chain: 4, Iteration: 5000
INFO [2020-11-24 11:06:03] Chain: 5, Iteration: 5000
INFO [2020-11-24 11:06:08] Chain: 1, Iteration: 6000
INFO [2020-11-24 11:06:08] Chain: 3, Iteration: 6000
INFO [2020-11-24 11:06:08] Chain: 2, Iteration: 6000
INFO [2020-11-24 11:06:08] Chain: 4, Iteration: 6000
INFO [2020-11-24 11:06:08] Chain: 5, Iteration: 6000
INFO [2020-11-24 11:06:13] Chain: 1, Iteration: 7000
INFO [2020-11-24 11:06:13] Chain: 3, Iteration: 7000
INFO [2020-11-24 11:06:13] Chain: 5, Iteration: 7000
INFO [2020-11-24 11:06:13] Chain: 4, Iteration: 7000
INFO [2020-11-24 11:06:13] Chain: 2, Iteration: 7000
INFO [2020-11-24 11:06:18] Chain: 1, Iteration: 8000
INFO [2020-11-24 11:06:18] Chain: 3, Iteration: 8000
INFO [2020-11-24 11:06:18] Chain: 4, Iteration: 8000
INFO [2020-11-24 11:06:18] Chain: 5, Iteration: 8000
INFO [2020-11-24 11:06:18] Chain: 2, Iteration: 8000
INFO [2020-11-24 11:06:24] Chain: 1, Iteration: 9000
INFO [2020-11-24 11:06:24] Chain: 3, Iteration: 9000
INFO [2020-11-24 11:06:24] Chain: 4, Iteration: 9000
INFO [2020-11-24 11:06:24] Chain: 5, Iteration: 9000
INFO [2020-11-24 11:06:24] Chain: 2, Iteration: 9000
INFO [2020-11-24 11:06:29] Chain: 1, Iteration: 10000
INFO [2020-11-24 11:06:29] Chain: 3, Iteration: 10000
INFO [2020-11-24 11:06:29] Chain: 4, Iteration: 10000
INFO [2020-11-24 11:06:29] Chain: 5, Iteration: 10000
INFO [2020-11-24 11:06:29] Chain: 2, Iteration: 10000
